ENSEMBL_GENE_ID	Name	Species
ENSMUSG00000053825	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2(Ppfia2)	Mus musculus
ENSMUSG00000048039	interferon stimulated exonuclease gene 20-like 2(Isg20l2)	Mus musculus
ENSMUSG00000001415	SMG5 nonsense mediated mRNA decay factor(Smg5)	Mus musculus
ENSMUSG00000050144	solute carrier family 25, member 44(Slc25a44)	Mus musculus
ENSMUSG00000068923	synaptotagmin XI(Syt11)	Mus musculus
ENSMUSG00000020170	fibroblast growth factor receptor substrate 2(Frs2)	Mus musculus
ENSMUSG00000068922	misato 1, mitochondrial distribution and morphology regulator(Msto1)	Mus musculus
ENSMUSG00000042613	pre B cell leukemia transcription factor interacting protein 1(Pbxip1)	Mus musculus
ENSMUSG00000027933	integrator complex subunit 3(Ints3)	Mus musculus
ENSMUSG00000042390	GATA zinc finger domain containing 2B(Gatad2b)	Mus musculus
ENSMUSG00000042404	DENN/MADD domain containing 4B(Dennd4b)	Mus musculus
ENSMUSG00000041303	general transcription factor IIIC, polypeptide 3(Gtf3c3)	Mus musculus
ENSMUSG00000045658	phosphotyrosine interaction domain containing 1(Pid1)	Mus musculus
ENSMUSG00000038902	pogo transposable element with ZNF domain(Pogz)	Mus musculus
ENSMUSG00000015711	prune exopolyphosphatase(Prune1)	Mus musculus
ENSMUSG00000015850	ADAMTS-like 4(Adamtsl4)	Mus musculus
ENSMUSG00000044949	ubiquitin domain containing 2(Ubtd2)	Mus musculus
ENSMUSG00000046519	golgi phosphoprotein 3-like(Golph3l)	Mus musculus
ENSMUSG00000038550	circadian associated repressor of transcription(Ciart)	Mus musculus
ENSMUSG00000038495	OTU domain containing 7B(Otud7b)	Mus musculus
ENSMUSG00000038543	cDNA sequence BC028528(BC028528)	Mus musculus
ENSMUSG00000028101	protein inhibitor of activated STAT 3(Pias3)	Mus musculus
ENSMUSG00000014245	phosphatidylinositol glycan anchor biosynthesis, class L(Pigl)	Mus musculus
ENSMUSG00000044795	cytochrome b5 domain containing 1(Cyb5d1)	Mus musculus
ENSMUSG00000033233	tripartite motif-containing 45(Trim45)	Mus musculus
ENSMUSG00000040483	XIAP associated factor 1(Xaf1)	Mus musculus
ENSMUSG00000040543	PITPNM family member 3(Pitpnm3)	Mus musculus
ENSMUSG00000005237	dynein, axonemal, heavy chain 2(Dnah2)	Mus musculus
ENSMUSG00000027860	VANGL planar cell polarity 1(Vangl1)	Mus musculus
ENSMUSG00000068823	cold shock domain containing E1, RNA binding(Csde1)	Mus musculus
ENSMUSG00000044098	rosbin, round spermatid basic protein 1(Rsbn1)	Mus musculus
ENSMUSG00000054404	schlafen 5(Slfn5)	Mus musculus
ENSMUSG00000045576	suppression of tumorigenicity 7-like(St7l)	Mus musculus
ENSMUSG00000034297	mediator complex subunit 13(Med13)	Mus musculus
ENSMUSG00000027896	solute carrier family 16 (monocarboxylic acid transporters), member 4(Slc16a4)	Mus musculus
ENSMUSG00000048109	RNA binding motif protein 15(Rbm15)	Mus musculus
ENSMUSG00000014601	striatin interacting protein 1(Strip1)	Mus musculus
ENSMUSG00000027894	solute carrier family 6 (neurotransmitter transporter), member 17(Slc6a17)	Mus musculus
ENSMUSG00000027893	S-adenosylhomocysteine hydrolase-like 1(Ahcyl1)	Mus musculus
ENSMUSG00000050947	adhesion molecule with Ig like domain 1(Amigo1)	Mus musculus
ENSMUSG00000046793	G protein-coupled receptor 61(Gpr61)	Mus musculus
ENSMUSG00000044787	spermatogenesis associated 32(Spata32)	Mus musculus
ENSMUSG00000040412	endosome-lysosome associated apoptosis and autophagy regulator 1(Elapor1)	Mus musculus
ENSMUSG00000027884	chloride channel CLIC-like 1(Clcc1)	Mus musculus
ENSMUSG00000040322	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24(Slc25a24)	Mus musculus
ENSMUSG00000007097	ATPase, Na+/K+ transporting, alpha 2 polypeptide(Atp1a2)	Mus musculus
ENSMUSG00000044788	fatty acid desaturase domain family, member 6(Fads6)	Mus musculus
ENSMUSG00000041439	major facilitator superfamily domain containing 6(Mfsd6)	Mus musculus
ENSMUSG00000027965	olfactomedin 3(Olfm3)	Mus musculus
ENSMUSG00000053286	tRNA methyltransferase 1 like(Trmt1l)	Mus musculus
ENSMUSG00000033502	CDC14 cell division cycle 14A(Cdc14a)	Mus musculus
ENSMUSG00000027957	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3(Slc35a3)	Mus musculus
ENSMUSG00000025921	retinol dehydrogenase 10 (all-trans)(Rdh10)	Mus musculus
ENSMUSG00000033439	tRNA methyltransferase 13(Trmt13)	Mus musculus
ENSMUSG00000042229	RAB interacting factor(Rabif)	Mus musculus
ENSMUSG00000039953	calsyntenin 1(Clstn1)	Mus musculus
ENSMUSG00000020956	D-tyrosyl-tRNA deacylase 2(Dtd2)	Mus musculus
ENSMUSG00000044667	phospholipid phosphatase related 4(Plppr4)	Mus musculus
ENSMUSG00000070697	UTP3 small subunit processome component(Utp3)	Mus musculus
ENSMUSG00000024098	twisted gastrulation BMP signaling modulator 1(Twsg1)	Mus musculus
ENSMUSG00000029810	transmembrane protein 176B(Tmem176b)	Mus musculus
ENSMUSG00000044528	translocation associated membrane protein 1-like 1(Tram1l1)	Mus musculus
ENSMUSG00000002504	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2(Slc9a3r2)	Mus musculus
ENSMUSG00000035597	pre-mRNA processing factor 39(Prpf39)	Mus musculus
ENSMUSG00000026211	obscurin-like 1(Obsl1)	Mus musculus
ENSMUSG00000004085	mitogen-activated protein kinase kinase kinase 20(Map3k20)	Mus musculus
ENSMUSG00000039318	RAB3 GTPase activating protein subunit 2(Rab3gap2)	Mus musculus
ENSMUSG00000033216	eukaryotic elongation factor, selenocysteine-tRNA-specific(Eefsec)	Mus musculus
ENSMUSG00000026726	cubilin (intrinsic factor-cobalamin receptor)(Cubn)	Mus musculus
ENSMUSG00000020096	thymus, brain and testes associated(Tbata)	Mus musculus
ENSMUSG00000023022	LIM domain and actin binding 1(Lima1)	Mus musculus
ENSMUSG00000028207	aspartate-beta-hydroxylase(Asph)	Mus musculus
ENSMUSG00000092083	potassium voltage gated channel, Shab-related subfamily, member 2(Kcnb2)	Mus musculus
ENSMUSG00000031838	interferon gamma inducible protein 30(Ifi30)	Mus musculus
ENSMUSG00000048833	solute carrier family 39 (zinc transporter), member 9(Slc39a9)	Mus musculus
ENSMUSG00000042079	heterogeneous nuclear ribonucleoprotein F(Hnrnpf)	Mus musculus
ENSMUSG00000036352	ubiquitin associated domain containing 1(Ubac1)	Mus musculus
ENSMUSG00000045328	centromere protein E(Cenpe)	Mus musculus
ENSMUSG00000040594	RAN binding protein 17(Ranbp17)	Mus musculus
ENSMUSG00000060950	tRNA methyltransferase 61A(Trmt61a)	Mus musculus
ENSMUSG00000072676	transmembrane protein 254(Tmem254)	Mus musculus
ENSMUSG00000028149	RAP1, GTP-GDP dissociation stimulator 1(Rap1gds1)	Mus musculus
ENSMUSG00000003072	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit(Atp5d)	Mus musculus
ENSMUSG00000027430	D-tyrosyl-tRNA deacylase 1(Dtd1)	Mus musculus
ENSMUSG00000034932	mitochondrial ribosomal protein L54(Mrpl54)	Mus musculus
ENSMUSG00000027673	NADH:ubiquinone oxidoreductase subunit B5(Ndufb5)	Mus musculus
ENSMUSG00000022540	rogdi homolog(Rogdi)	Mus musculus
ENSMUSG00000047260	ER membrane protein complex subunit 6(Emc6)	Mus musculus
ENSMUSG00000022771	peptidylprolyl isomerase (cyclophilin)-like 2(Ppil2)	Mus musculus
ENSMUSG00000058076	succinate dehydrogenase complex, subunit C, integral membrane protein(Sdhc)	Mus musculus
ENSMUSG00000037361	splicing factor 3B, subunit 6(Sf3b6)	Mus musculus
ENSMUSG00000024644	CNDP dipeptidase 2 (metallopeptidase M20 family)(Cndp2)	Mus musculus
ENSMUSG00000051184	zinc finger protein 524(Zfp524)	Mus musculus
ENSMUSG00000105504	guanylate binding protein 5(Gbp5)	Mus musculus
ENSMUSG00000042747	keratinocyte associated protein 2(Krtcap2)	Mus musculus
ENSMUSG00000023367	transmembrane protein 176A(Tmem176a)	Mus musculus
ENSMUSG00000014075	dynein light chain Tctex-type 2B(Dynlt2b)	Mus musculus
ENSMUSG00000046727	cysteine-rich transmembrane module containing 1(Cystm1)	Mus musculus
ENSMUSG00000039128	cell division cycle 123(Cdc123)	Mus musculus
ENSMUSG00000040253	guanylate binding protein 7(Gbp7)	Mus musculus
ENSMUSG00000028271	general transcription factor IIB(Gtf2b)	Mus musculus
ENSMUSG00000022668	GTP-binding protein 8 (putative)(Gtpbp8)	Mus musculus
ENSMUSG00000040213	kynurenine aminotransferase 3(Kyat3)	Mus musculus
ENSMUSG00000032766	guanine nucleotide binding protein (G protein), gamma 11(Gng11)	Mus musculus
ENSMUSG00000055334	snurportin 1(Snupn)	Mus musculus
ENSMUSG00000064254	ethylmalonic encephalopathy 1(Ethe1)	Mus musculus
ENSMUSG00000004096	CWC15 spliceosome-associated protein(Cwc15)	Mus musculus
ENSMUSG00000028567	thioredoxin domain containing 12 (endoplasmic reticulum)(Txndc12)	Mus musculus
ENSMUSG00000024668	succinate dehydrogenase complex assembly factor 2(Sdhaf2)	Mus musculus
ENSMUSG00000053768	coiled-coil-helix-coiled-coil-helix domain containing 3(Chchd3)	Mus musculus
ENSMUSG00000012422	transmembrane protein 167(Tmem167)	Mus musculus
ENSMUSG00000065990	aurora kinase A interacting protein 1(Aurkaip1)	Mus musculus
ENSMUSG00000025504	EPS8-like 2(Eps8l2)	Mus musculus
ENSMUSG00000066233	transmembrane protein 42(Tmem42)	Mus musculus
ENSMUSG00000035585	tRNA splicing endonuclease subunit 34(Tsen34)	Mus musculus
ENSMUSG00000031671	SET domain containing 6(Setd6)	Mus musculus
ENSMUSG00000025277	abhydrolase domain containing 6(Abhd6)	Mus musculus
ENSMUSG00000031029	eukaryotic translation initiation factor 3, subunit F(Eif3f)	Mus musculus
ENSMUSG00000019763	required for meiotic nuclear division 1 homolog(Rmnd1)	Mus musculus
ENSMUSG00000030286	ER membrane protein complex subunit 3(Emc3)	Mus musculus
ENSMUSG00000022677	centrosomal protein 20(Cep20)	Mus musculus
ENSMUSG00000001054	required for meiotic nuclear division 5 homolog B(Rmnd5b)	Mus musculus
ENSMUSG00000035674	NADH:ubiquinone oxidoreductase subunit A3(Ndufa3)	Mus musculus
ENSMUSG00000042675	yippee like 3(Ypel3)	Mus musculus
ENSMUSG00000041028	growth hormone inducible transmembrane protein(Ghitm)	Mus musculus
ENSMUSG00000051335	glucose-fructose oxidoreductase domain containing 1(Gfod1)	Mus musculus
ENSMUSG00000035215	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated(Lsm7)	Mus musculus
ENSMUSG00000044164	ring finger protein 182(Rnf182)	Mus musculus
ENSMUSG00000050552	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4(Lamtor4)	Mus musculus
ENSMUSG00000074182	zinc finger, HIT type 6(Znhit6)	Mus musculus
ENSMUSG00000030086	coiled-coil-helix-coiled-coil-helix domain containing 6(Chchd6)	Mus musculus
ENSMUSG00000060288	peptidyl prolyl isomerase H(Ppih)	Mus musculus
ENSMUSG00000018920	chemokine (C-X-C motif) ligand 16(Cxcl16)	Mus musculus
ENSMUSG00000078578	ubiquitin-conjugating enzyme E2D 3(Ube2d3)	Mus musculus
ENSMUSG00000031409	transcription elongation factor A (SII)-like 6(Tceal6)	Mus musculus
ENSMUSG00000020577	tetraspanin 13(Tspan13)	Mus musculus
ENSMUSG00000000399	NADH:ubiquinone oxidoreductase subunit A9(Ndufa9)	Mus musculus
ENSMUSG00000032353	transmembrane p24 trafficking protein 3(Tmed3)	Mus musculus
ENSMUSG00000039058	adenylate kinase 5(Ak5)	Mus musculus
ENSMUSG00000027293	EH-domain containing 4(Ehd4)	Mus musculus
ENSMUSG00000061118	DnaJ heat shock protein family (Hsp40) member C30(Dnajc30)	Mus musculus
ENSMUSG00000019689	formation of mitochondrial complex V assembly factor 1(Fmc1)	Mus musculus
ENSMUSG00000033475	translocase of outer mitochondrial membrane 6(Tomm6)	Mus musculus
ENSMUSG00000078427	SAP domain containing ribonucleoprotein(Sarnp)	Mus musculus
ENSMUSG00000063787	coiled-coil-helix-coiled-coil-helix domain containing 1(Chchd1)	Mus musculus
ENSMUSG00000078348	splicing factor 3b, subunit 5(Sf3b5)	Mus musculus
ENSMUSG00000038695	Josephin domain containing 2(Josd2)	Mus musculus
ENSMUSG00000013822	ELF1 homolog, elongation factor 1(Elof1)	Mus musculus
ENSMUSG00000061474	mitochondrial ribosomal protein S36(Mrps36)	Mus musculus
ENSMUSG00000032397	timeless interacting protein(Tipin)	Mus musculus
ENSMUSG00000036315	RNA polymerase I subunit H(Polr1h)	Mus musculus
ENSMUSG00000025492	interferon induced transmembrane protein 3(Ifitm3)	Mus musculus
ENSMUSG00000020492	spindle and kinetochore associated complex subunit 2(Ska2)	Mus musculus
ENSMUSG00000001707	eukaryotic translation elongation factor 1 epsilon 1(Eef1e1)	Mus musculus
ENSMUSG00000031231	cytochrome c oxidase subunit 7B(Cox7b)	Mus musculus
ENSMUSG00000039046	USP6 N-terminal like(Usp6nl)	Mus musculus
ENSMUSG00000004285	ATPase, H+ transporting, lysosomal V1 subunit F(Atp6v1f)	Mus musculus
ENSMUSG00000028923	NECAP endocytosis associated 2(Necap2)	Mus musculus
ENSMUSG00000028826	macoilin 1(Maco1)	Mus musculus
ENSMUSG00000022013	DnaJ heat shock protein family (Hsp40) member C15(Dnajc15)	Mus musculus
ENSMUSG00000023048	proline rich 13(Prr13)	Mus musculus
ENSMUSG00000073633	F-box protein 36(Fbxo36)	Mus musculus
ENSMUSG00000059534	ubiquinol-cytochrome c reductase, complex III subunit X(Uqcr10)	Mus musculus
ENSMUSG00000062963	ubiquitin-fold modifier conjugating enzyme 1(Ufc1)	Mus musculus
ENSMUSG00000021361	transmembrane protein 14C(Tmem14c)	Mus musculus
ENSMUSG00000025135	anaphase promoting complex subunit 11(Anapc11)	Mus musculus
ENSMUSG00000030423	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)	Mus musculus
ENSMUSG00000003299	mitochondrial ribosomal protein L4(Mrpl4)	Mus musculus
ENSMUSG00000047721	bolA-like 2 (E. coli)(Bola2)	Mus musculus
ENSMUSG00000030983	BRCA2 and CDKN1A interacting protein(Bccip)	Mus musculus
ENSMUSG00000031917	NIP7, nucleolar pre-rRNA processing protein(Nip7)	Mus musculus
ENSMUSG00000067818	myosin, light polypeptide 9, regulatory(Myl9)	Mus musculus
ENSMUSG00000091537	translational machinery associated 7(Tma7)	Mus musculus
ENSMUSG00000070720	transmembrane protein 200B(Tmem200b)	Mus musculus
ENSMUSG00000028998	translocase of outer mitochondrial membrane 7(Tomm7)	Mus musculus
ENSMUSG00000022564	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)(Grina)	Mus musculus
ENSMUSG00000031807	6-phosphogluconolactonase(Pgls)	Mus musculus
ENSMUSG00000037938	coiled-coil-helix-coiled-coil-helix domain containing 5(Chchd5)	Mus musculus
ENSMUSG00000018923	mediator complex subunit 11(Med11)	Mus musculus
ENSMUSG00000042485	musculoskeletal, embryonic nuclear protein 1(Mustn1)	Mus musculus
ENSMUSG00000002804	nudix (nucleoside diphosphate linked moiety X)-type motif 14(Nudt14)	Mus musculus
ENSMUSG00000084786	ubiquitin-like 5(Ubl5)	Mus musculus
ENSMUSG00000015542	N-acetyltransferase 9 (GCN5-related, putative)(Nat9)	Mus musculus
ENSMUSG00000025169	2-oxoglutarate and iron-dependent oxygenase domain containing 3(Ogfod3)	Mus musculus
ENSMUSG00000027133	NOP10 ribonucleoprotein(Nop10)	Mus musculus
ENSMUSG00000006931	prolyl 3-hydroxylase family member 4 (non-enzymatic)(P3h4)	Mus musculus
ENSMUSG00000043461	serine palmitoyltransferase, small subunit B(Sptssb)	Mus musculus
ENSMUSG00000028247	coenzyme Q3 methyltransferase(Coq3)	Mus musculus
ENSMUSG00000039157	family with sequence similarity 102, member A(Fam102a)	Mus musculus
ENSMUSG00000034751	microtubule associated serine/threonine kinase family member 4(Mast4)	Mus musculus
ENSMUSG00000027185	N-acetyltransferase 10(Nat10)	Mus musculus
ENSMUSG00000090000	immediate early response 3 interacting protein 1(Ier3ip1)	Mus musculus
ENSMUSG00000030760	alkaline ceramidase 3(Acer3)	Mus musculus
ENSMUSG00000028669	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1(Pithd1)	Mus musculus
ENSMUSG00000015289	L antigen family, member 3(Lage3)	Mus musculus
ENSMUSG00000022571	pyrroline-5-carboxylate reductase-like(Pycrl)	Mus musculus
ENSMUSG00000020527	myosin XIX(Myo19)	Mus musculus
ENSMUSG00000032299	COMM domain containing 4(Commd4)	Mus musculus
ENSMUSG00000019868	vesicle (multivesicular body) trafficking 1(Vta1)	Mus musculus
ENSMUSG00000075486	COMM domain containing 6(Commd6)	Mus musculus
ENSMUSG00000032551	RIKEN cDNA 1110059G10 gene(1110059G10Rik)	Mus musculus
ENSMUSG00000026841	fibrinogen C domain containing 1(Fibcd1)	Mus musculus
ENSMUSG00000060703	CD302 antigen(Cd302)	Mus musculus
ENSMUSG00000008822	acylphosphatase 1, erythrocyte (common) type(Acyp1)	Mus musculus
ENSMUSG00000035171	RIKEN cDNA 1110059E24 gene(1110059E24Rik)	Mus musculus
ENSMUSG00000038544	INTS3 and NABP interacting protein(Inip)	Mus musculus
ENSMUSG00000037499	neuron derived neurotrophic factor(Nenf)	Mus musculus
ENSMUSG00000020397	mediator complex subunit 7(Med7)	Mus musculus
ENSMUSG00000053317	Sec61 beta subunit(Sec61b)	Mus musculus
ENSMUSG00000073514	docking protein 6(Dok6)	Mus musculus
ENSMUSG00000022018	regulator of cell cycle(Rgcc)	Mus musculus
ENSMUSG00000007817	zinc finger, MIZ-type containing 1(Zmiz1)	Mus musculus
ENSMUSG00000027079	CLP1, cleavage and polyadenylation factor I subunit(Clp1)	Mus musculus
ENSMUSG00000022354	NADH:ubiquinone oxidoreductase subunit B9(Ndufb9)	Mus musculus
ENSMUSG00000015335	zinc finger, DHHC domain containing 12(Zdhhc12)	Mus musculus
ENSMUSG00000052962	mitochondrial ribosomal protein L35(Mrpl35)	Mus musculus
ENSMUSG00000044734	serine (or cysteine) peptidase inhibitor, clade B, member 1a(Serpinb1a)	Mus musculus
ENSMUSG00000020224	LLP homolog, long-term synaptic facilitation (Aplysia)(Llph)	Mus musculus
ENSMUSG00000079317	trafficking protein particle complex 2(Trappc2)	Mus musculus
ENSMUSG00000063888	ribosomal protein L7-like 1(Rpl7l1)	Mus musculus
ENSMUSG00000053453	THO complex 7(Thoc7)	Mus musculus
ENSMUSG00000039501	zinc finger, NFX1-type containing 1(Znfx1)	Mus musculus
ENSMUSG00000040269	mitochondrial ribosomal protein S28(Mrps28)	Mus musculus
ENSMUSG00000052395	RFT1 homolog(Rft1)	Mus musculus
ENSMUSG00000009640	DNA methyltransferase 1-associated protein 1(Dmap1)	Mus musculus
ENSMUSG00000037833	SH2 domain containing 4B(Sh2d4b)	Mus musculus
ENSMUSG00000071014	NADH:ubiquinone oxidoreductase subunit B6(Ndufb6)	Mus musculus
ENSMUSG00000067194	eukaryotic translation initiation factor 1A, X-linked(Eif1ax)	Mus musculus
ENSMUSG00000040296	DEAD/H box helicase 58(Ddx58)	Mus musculus
ENSMUSG00000074994	glutamine and serine rich 1(Qser1)	Mus musculus
ENSMUSG00000031604	methylsterol monoxygenase 1(Msmo1)	Mus musculus
ENSMUSG00000024403	ATPase, H+ transporting, lysosomal V1 subunit G2(Atp6v1g2)	Mus musculus
ENSMUSG00000026411	transmembrane protein 9(Tmem9)	Mus musculus
ENSMUSG00000090122	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene(Kcne1l)	Mus musculus
ENSMUSG00000028430	nucleolar protein family 6 (RNA-associated)(Nol6)	Mus musculus
ENSMUSG00000039254	protein-O-mannosyltransferase 1(Pomt1)	Mus musculus
ENSMUSG00000049960	mitochondrial ribosomal protein S16(Mrps16)	Mus musculus
ENSMUSG00000027134	lysophosphatidylcholine acyltransferase 4(Lpcat4)	Mus musculus
ENSMUSG00000063802	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1(Hspbp1)	Mus musculus
ENSMUSG00000020982	nuclear export mediator factor(Nemf)	Mus musculus
ENSMUSG00000036062	PHD finger protein 24(Phf24)	Mus musculus
ENSMUSG00000006289	O-sialoglycoprotein endopeptidase(Osgep)	Mus musculus
ENSMUSG00000020116	partner of NOB1 homolog(Pno1)	Mus musculus
ENSMUSG00000036632	asparagine-linked glycosylation 5 (dolichyl-phosphate beta-glucosyltransferase)(Alg5)	Mus musculus
ENSMUSG00000054277	ADP-ribosylation factor GTPase activating protein 3(Arfgap3)	Mus musculus
ENSMUSG00000036002	family with sequence similarity 214, member B(Fam214b)	Mus musculus
ENSMUSG00000019806	androgen-induced 1(Aig1)	Mus musculus
ENSMUSG00000078963	heat shock factor binding protein 1-like 1(Hsbp1l1)	Mus musculus
ENSMUSG00000021692	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)(Dimt1)	Mus musculus
ENSMUSG00000032606	nicolin 1(Nicn1)	Mus musculus
ENSMUSG00000041355	signal sequence receptor, beta(Ssr2)	Mus musculus
ENSMUSG00000046447	calcium/calmodulin-dependent protein kinase II inhibitor 1(Camk2n1)	Mus musculus
ENSMUSG00000034211	mitochondrial ribosomal protein S17(Mrps17)	Mus musculus
ENSMUSG00000028469	natriuretic peptide receptor 2(Npr2)	Mus musculus
ENSMUSG00000028467	glucosidase beta 2(Gba2)	Mus musculus
ENSMUSG00000042359	oxysterol binding protein-like 6(Osbpl6)	Mus musculus
ENSMUSG00000026283	inhibitor of growth family, member 5(Ing5)	Mus musculus
ENSMUSG00000028795	coiled coil domain containing 28B(Ccdc28b)	Mus musculus
ENSMUSG00000054302	E2F-associated phosphoprotein(Eapp)	Mus musculus
ENSMUSG00000010607	phosphatidylinositol glycan anchor biosynthesis, class Y-like(Pigyl)	Mus musculus
ENSMUSG00000030615	transmembrane protein 126A(Tmem126a)	Mus musculus
ENSMUSG00000035642	adipogenesis associated Mth938 domain containing(Aamdc)	Mus musculus
ENSMUSG00000091803	cytochrome c oxidase assembly protein 16(Cox16)	Mus musculus
ENSMUSG00000072640	LYR motif containing 9(Lyrm9)	Mus musculus
ENSMUSG00000030087	Kruppel-like factor 15(Klf15)	Mus musculus
ENSMUSG00000049657	zinc finger and BTB domain containing 5(Zbtb5)	Mus musculus
ENSMUSG00000054509	poly (ADP-ribose) polymerase family, member 4(Parp4)	Mus musculus
ENSMUSG00000037740	mitochondrial ribosomal protein S26(Mrps26)	Mus musculus
ENSMUSG00000071653	RIKEN cDNA 1810009A15 gene(1810009A15Rik)	Mus musculus
ENSMUSG00000032121	transmembrane protein 218(Tmem218)	Mus musculus
ENSMUSG00000061461	small integral membrane protein 20(Smim20)	Mus musculus
ENSMUSG00000025591	translation machinery associated 16(Tma16)	Mus musculus
ENSMUSG00000044813	src homology 2 domain-containing transforming protein B(Shb)	Mus musculus
ENSMUSG00000045973	solute carrier family 25, member 51(Slc25a51)	Mus musculus
ENSMUSG00000024516	SEC11 homolog C, signal peptidase complex subunit(Sec11c)	Mus musculus
ENSMUSG00000028295	small integral membrane protein 8(Smim8)	Mus musculus
ENSMUSG00000039105	ATPase, H+ transporting, lysosomal V1 subunit G1(Atp6v1g1)	Mus musculus
ENSMUSG00000054312	mitochondrial ribosomal protein S21(Mrps21)	Mus musculus
ENSMUSG00000031399	FAM3 metabolism regulating signaling molecule A(Fam3a)	Mus musculus
ENSMUSG00000060424	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1(Pantr1)	Mus musculus
ENSMUSG00000027285	HAUS augmin-like complex, subunit 2(Haus2)	Mus musculus
ENSMUSG00000091811	InaF motif containing 1(Inafm1)	Mus musculus
ENSMUSG00000028229	regulator of microtubule dynamics 1(Rmdn1)	Mus musculus
ENSMUSG00000024601	isochorismatase domain containing 1(Isoc1)	Mus musculus
ENSMUSG00000039774	polypeptide N-acetylgalactosaminyltransferase 12(Galnt12)	Mus musculus
ENSMUSG00000034300	family with sequence similarity 53, member C(Fam53c)	Mus musculus
ENSMUSG00000067365	transmembrane protein 128(Tmem128)	Mus musculus
ENSMUSG00000012429	M-phase specific PLK1 intereacting protein(Mplkip)	Mus musculus
ENSMUSG00000079481	NHS-like 2(Nhsl2)	Mus musculus
ENSMUSG00000075266	centromere protein W(Cenpw)	Mus musculus
ENSMUSG00000024067	dpy-30, histone methyltransferase complex regulatory subunit(Dpy30)	Mus musculus
ENSMUSG00000018363	SMAD specific E3 ubiquitin protein ligase 2(Smurf2)	Mus musculus
ENSMUSG00000052917	SUMO1/sentrin specific peptidase 7(Senp7)	Mus musculus
ENSMUSG00000000827	tumor protein D52-like 2(Tpd52l2)	Mus musculus
ENSMUSG00000061559	WD repeat domain 61(Wdr61)	Mus musculus
ENSMUSG00000028347	transmembrane protein with EGF-like and two follistatin-like domains 1(Tmeff1)	Mus musculus
ENSMUSG00000028307	aldolase B, fructose-bisphosphate(Aldob)	Mus musculus
ENSMUSG00000014856	transmembrane protein 208(Tmem208)	Mus musculus
ENSMUSG00000039634	zinc finger protein 189(Zfp189)	Mus musculus
ENSMUSG00000021384	sushi domain containing 3(Susd3)	Mus musculus
ENSMUSG00000035085	RIKEN cDNA 1700020L24 gene(1700020L24Rik)	Mus musculus
ENSMUSG00000042797	aquaporin 11(Aqp11)	Mus musculus
