HGNC	Mouse symbol	EnsembleID	baseMean	WT1	WT2	WT3	WT4	HT1	HT2	HT3	HT4	HM1	HM2	HM3	HM4
RPL13	Rpl13	ENSMUSG00000000740	4346.57266395485	4603.39016596751	5485.31110590079	5459.30627193584	5658.10239278693	3909.6616728237	3957.14858758766	3971.26725886516	3996.71835218709	3587.09407252735	3507.55557433867	3648.06560730133	4375.25090523614
ATP5ME	Atp5k	ENSMUSG00000050856	772.952283059831	850.574851142195	864.623088727899	856.232141296088	959.353048411909	670.895889071636	681.93413288535	656.852605382182	744.245978255951	772.182430104076	745.656479507263	729.394719720354	743.482032213073
RPLP1	Rplp1	ENSMUSG00000007892	6680.12552966127	7320.35632053142	7687.93190324132	7528.49956987625	8345.37809912934	5909.83374652734	5823.00095475108	5918.58948876058	6565.35932945688	6473.80210818577	5817.72283479297	5884.32052576844	6886.71147491382
TMEM245	Tmem245	ENSMUSG00000055296	4899.29714328794	4580.74448181473	4248.09936473903	4451.14325823458	4288.14375582247	5518.58493336153	5304.35236547391	5397.76901759746	4965.80033304178	4719.15328888114	5253.90581708182	4872.78170076091	5191.08740264597
CCND1	Ccnd1	ENSMUSG00000070348	1011.57389715087	1606.63107482295	1434.85436872369	1456.90032795399	1577.21277118889	774.467171955861	1199.38474178934	889.725170510902	852.602922168276	654.969268436923	534.31707363094	699.641982328779	458.17989229986
FAU	Fau	ENSMUSG00000038274	2860.13462508911	3094.73440435585	3308.16647553487	3134.65319165331	3303.05126184463	2644.6321051486	2509.72290988223	2689.99045314239	2809.42527668164	2686.53197618962	2603.78575585893	2646.24089895768	2890.68079181962
GAPDH	Gapdh	ENSMUSG00000057666	44957.6726042657	48887.1663981516	48440.5160816092	49859.4860694148	47861.1673561284	41655.1738589596	41301.7842057933	40368.9483889563	45293.9351375793	44270.3167289703	43527.6145422291	42860.374588101	45165.5878952952
CACNG7	Cacng7	ENSMUSG00000069806	4325.90429249683	4418.53538387781	4666.02239831543	4746.76304501074	4746.87264130794	4143.89895149342	3911.19755914658	4038.65337171249	4050.91400097143	4355.27554611293	4264.59041239584	4394.81183091761	4173.3163686998
RPS23	Rps23	ENSMUSG00000049517	1451.26305132238	1503.99018491642	1642.88314790431	1703.67471623625	1666.70519603743	1350.22992814943	1325.98834896192	1395.35204957403	1313.21463061935	1381.48921067494	1318.70666799964	1428.09814845328	1384.82438634155
FRAS1	Fras1	ENSMUSG00000034687	1432.50129444788	1327.89722584364	1122.25508560018	1170.17415484812	1217.98004876005	1678.4338914654	1741.36431805607	1482.88815183064	1451.00720784985	1502.1672398776	1376.20568963942	1542.93660798526	1576.7059116183
PVALB	Pvalb	ENSMUSG00000005716	682.994403522107	780.440700921149	888.349763753322	854.760661559142	812.104014495196	549.313826176661	598.8138582616	667.262341440523	635.409730142473	552.402540243089	686.49836492453	616.761004913714	553.816035433891
GPR26	Gpr26	ENSMUSG00000040125	9375.24834375956	8658.2572567475	7963.00546144289	8492.33638628854	8642.01235242925	10238.5956674235	9389.84427724705	10933.6736383389	10111.2146782592	10049.8578549752	9516.95176526048	9409.88160158845	9097.34918511384
CACNG2	Cacng2	ENSMUSG00000019146	2470.68618382257	2695.68766359937	2762.34726672363	2651.23588216227	2649.5113031067	2351.41967357232	2370.83711544701	2260.36830598866	2124.62865477795	2370.24872840475	2471.55926387324	2386.94830031316	2553.44204790175
TTPAL	Ttpal	ENSMUSG00000017679	2058.81904198365	1897.6496731549	1902.23631116319	1909.39862820361	1788.15382545995	2170.33490524234	2308.67426668234	2166.27766378745	2124.25995385043	2134.81409794224	2061.32408846098	2147.08779560858	2095.61729424778
RPS13	Rps13	ENSMUSG00000090862	1411.01122535996	1714.87972089461	1553.65919427097	1624.18525643711	1568.83939736837	1273.72388352136	1378.68791876184	1355.85215442149	1344.10530628671	1227.33102853826	1327.02895303617	1237.81467232867	1326.0272184539
PTMS	Ptms	ENSMUSG00000030122	9655.04496852866	10011.3658019508	10402.736090851	10854.6938988282	10800.4190886337	9053.06169872198	8544.54298574373	8188.12227289074	9441.30047913281	9793.0848864114	9213.67702495199	9996.36299261975	9561.17240160779
SACS	Sacs	ENSMUSG00000048279	3576.09205173878	3612.84635084785	3144.39088297885	3137.97943118821	3025.97564478311	4060.35344320923	3899.54794734803	4086.90493750551	3778.31879698348	3340.20777524677	3620.1190622475	3517.24672313927	3689.21362538755
LCORL	Lcorl	ENSMUSG00000015882	792.147723769771	648.275486387245	663.737233310229	772.052795243364	677.490981598826	869.042787547916	868.233627282971	861.259309043638	927.183284400129	789.012657531918	867.052397630991	800.124907925683	762.307217334338
NECTIN1	Nectin1	ENSMUSG00000032012	1161.26804457112	1358.75021250305	1386.96115561255	1447.03790992447	1237.58569109648	933.596694682953	948.04876699988	991.808983167717	1010.60476615057	1049.07494059397	1071.42522588587	1043.39274411355	1456.92944412233
MAML3	Maml3	ENSMUSG00000061143	280.326591958433	324.749578708093	326.85001693496	320.103715861738	293.568756212119	212.365588355132	239.920664773982	246.736677111283	205.909013370614	278.378268117372	279.378628209119	308.35856747266	327.59962837413
ATP5F1E	Atp5e	ENSMUSG00000016252	1034.61633944242	1157.99971773005	1128.9564597487	1179.50177022054	1182.44451873553	887.442522304789	957.568980646674	970.239397219715	975.053758667401	1049.32199536361	1002.92552614833	904.150117056241	1019.79130946743
SESTD1	Sestd1	ENSMUSG00000042272	2830.76988882573	2684.99271723146	2491.20131204642	2555.14168234446	2627.52826333587	3148.14315325302	3126.93831872504	2991.83721496022	2840.71486727404	2887.69527135892	2807.66104367971	2833.37372993228	2974.01109176731
RPL34	Rpl34	ENSMUSG00000062006	1231.91243185827	1363.84637996	1412.71259146491	1398.51424876172	1412.83222402414	1149.46800896906	1065.0182187531	1086.05688539235	1244.01922262177	1246.46395302403	1099.14742899607	1120.42085635431	1184.44916397777
RPL27	Rpl27	ENSMUSG00000063316	918.008515487224	1019.94159632662	1050.26013296811	1126.91030264166	1195.02186857053	824.254718480355	883.694569270773	838.145761144298	822.900850121122	822.18459432571	890.199600036452	691.674077140028	850.914114821022
EPHA5	Epha5	ENSMUSG00000029245	3259.71334912291	3107.69990214348	2709.32274332038	2906.61963869111	2920.49890945203	3398.49157224678	3579.55598312762	3305.39756526058	3391.76143945905	3400.09818138759	3576.6392999931	3439.02995552766	3381.44499886557
SCRT1	Scrt1	ENSMUSG00000048385	4168.48228162553	4456.78611388842	4570.81112729106	4573.37005374095	4730.04618191958	4110.83043283054	3771.50498429996	3983.38635946044	4077.66835849767	3775.92318965792	3956.60389024134	4110.41286184154	3904.44382583693
RPL8	Rpl8	ENSMUSG00000003970	4975.01091091074	5364.13700157169	5386.5343411903	5508.45698704928	5534.48183689678	4680.05540695182	4614.67218285666	4696.28585164334	5095.92501100471	4877.1209638044	4623.46192743684	4650.00052963116	4668.99889089194
MT-ND2	mt-Nd2	ENSMUSG00000064345	97754.0403114953	93082.1162737946	110322.805322924	110592.054863898	112368.642343477	87343.1844285302	85890.4736021724	89343.051811594	85966.0417384412	100286.384977578	92596.0226143617	97873.0686103434	107384.637150829
PANK3	Pank3	ENSMUSG00000018846	2063.29603627614	1923.1408261692	1918.06718593908	1820.75453710765	1868.2380634098	2116.17786036882	2269.43116397716	2122.4224661904	2283.83003582019	2030.69425145092	2181.7834282546	2168.09938412372	2056.91323250215
PCDHGC4	Pcdhgc4	ENSMUSG00000023036	3215.43286454239	3393.68672667719	4009.17899831881	3598.64203923979	4386.62887533485	2580.79202216457	2972.58158679102	2664.05371487011	2747.10926375535	3562.9040577378	2922.06151505265	3320.98965012802	2426.56592443847
NAV3	Nav3	ENSMUSG00000020181	3588.75070289995	3251.3414179252	2762.18249557056	3218.1805446654	3283.01310444592	3898.36290917523	4111.30285142904	3894.81093059278	3759.57926908133	3874.99644352397	3559.64594860394	3374.70608657937	4076.8864332067
LY6E	Ly6e	ENSMUSG00000022587	4634.08909282011	4987.28754694052	4813.95263483219	5252.93619195287	4721.0651248566	4244.01770609736	4293.98409130337	4398.12918737868	4399.758516418	4644.55693930445	4641.45581098384	4526.21362330007	4685.71174047336
NRP2	Nrp2	ENSMUSG00000025969	840.177603605807	670.855937865032	751.601385374409	687.419220352793	760.431856866088	958.049392155531	904.986870135991	882.499997034011	979.222322794325	1002.77862549873	813.091195786945	880.758205406904	790.436233998925
ITGB8	Itgb8	ENSMUSG00000025321	1849.22134142823	1675.98974356732	1693.50581071677	1655.78393165207	1742.01049484572	2079.79156114404	2024.30485946564	2091.64380836082	1913.24998951604	1947.04863220589	1867.43359471588	1851.83572418836	1648.05794676017
TMTC1	Tmtc1	ENSMUSG00000030306	3053.20409244785	3040.11030837332	2825.80220236686	2915.30148998725	2775.06319879716	3391.61688669033	3305.53867544582	3269.28976141831	3525.60846028428	2921.83491567395	2895.54719406188	3047.94315100155	2724.79286527351
RPS24	Rps24	ENSMUSG00000025290	3508.84634327604	3902.0505079581	3843.34040792829	3695.54819057884	3889.21986922301	3228.25371766518	3305.12166785753	3395.78098496755	3472.96529553105	3520.05047608417	3288.95562797588	3293.512597074	3271.35677646893
HECW2	Hecw2	ENSMUSG00000042807	2346.13595223954	2103.03715966442	1952.5028213896	2123.90577652229	1847.84218124535	2594.3233433578	2857.50555181079	3244.59112813674	2925.29114134468	2058.46089726113	2033.28788596845	2749.90294161995	1662.98059855324
SCN7A	Scn7a	ENSMUSG00000034810	268.04051728505	192.671414469788	180.611675499442	222.546910610277	238.283731587695	273.592227165571	309.010768731252	288.119442128969	311.309897417903	292.29041689425	315.416783156146	271.845178939192	320.787760820112
CDKL5	Cdkl5	ENSMUSG00000031292	7155.86792643394	6925.21529305383	6223.81241271046	7009.17398599462	6129.08931151218	7790.04809125344	7657.72250990524	8047.95682916019	7967.15624834508	6814.39662484409	7543.53346963653	7144.85683109462	6617.45350969704
PTP4A3	Ptp4a3	ENSMUSG00000059895	2147.73355704462	2360.55981325435	2286.46377198738	2335.8888646523	2407.71599417761	1927.09000858953	2088.63066944986	1931.84109251334	2031.62516127862	2168.78506265072	1982.37988092691	2019.4423367104	2232.38002834438
PLA2G4E	Pla2g4e	ENSMUSG00000050211	478.460407308699	322.718953647227	441.784270928344	419.410672232108	398.056720521913	554.845415710336	510.257181180567	741.280622855877	572.290160577791	449.877384221531	392.801015873517	520.695274649745	417.507215305432
ATP5MC1	Atp5g1	ENSMUSG00000006057	2591.51416965719	2808.3002714271	2852.29736241362	2724.05958767664	2803.01166768818	2442.71629996775	2400.13964844649	2435.76663079676	2577.02741560024	2535.48487151644	2507.4452670234	2568.30874811336	2443.61226521634
UBALD1	Ubald1	ENSMUSG00000039568	2415.80640778355	2691.70501942727	2559.10403606104	2725.6055346688	2557.58374809528	2202.40151579748	2284.78426913205	2286.74642284007	2399.61966739167	2309.85507790487	2300.22868305767	2280.1324475542	2391.91047147214
SLC22A23	Slc22a23	ENSMUSG00000038267	2377.64015327916	2209.2065342632	2263.51752614735	2302.76884586704	2241.89097647313	2585.00227693285	2573.33996009366	2532.48543050231	2575.96383963782	2311.77441341754	2189.65560186866	2405.46294245991	2340.61349168641
ALDH1L1	Aldh1l1	ENSMUSG00000030088	1863.71735410316	2020.75722375618	2263.07404441233	2047.26961025389	2060.86697748626	1628.87616664706	1827.21907583421	1743.06339266666	1634.58894051886	1676.14752250746	1903.74828436034	1655.07797673739	1903.9190340572
PTPRF	Ptprf	ENSMUSG00000033295	3233.62614416819	3020.17313062265	2730.24724291257	2850.51838604909	2900.75298110983	3622.84209606032	3251.93882665324	3259.00265167604	3595.79726608778	3671.97161253922	3281.49032084386	3308.14718938511	3310.63202607853
NDUFA2	Ndufa2	ENSMUSG00000014294	1059.67121814188	1136.54966778641	1187.29945219057	1112.88441739588	1249.93257687227	947.79999724052	970.196793461385	905.782212470178	1017.85682760836	1125.76134877893	1024.69089189438	980.765794654401	1056.53463734928
SOS1	Sos1	ENSMUSG00000024241	1763.30431955887	1712.81360918988	1594.06309249069	1643.40559030686	1505.10405443406	1831.49075286429	1895.43929075199	1983.68550026554	1918.57865169258	1664.87963905035	1794.51847184931	1772.92279232079	1842.75038949007
RPLP0	Rplp0	ENSMUSG00000067274	3997.08639606313	4147.37221855687	4413.26869375613	4282.770968217	4219.3054002058	3783.99401435845	3653.76459693086	3694.64065315528	3947.31661472481	4056.8033645878	3850.05221315071	4012.86953656893	3902.87847854487
KCTD16	Kctd16	ENSMUSG00000051401	916.936598442352	841.23555155734	771.4253379266	812.533305533309	851.433864849665	1075.97358914838	1151.97381666293	1066.07401708177	882.780042015243	893.556755377037	849.95939050223	866.265282679504	940.028227974209
GUCY1A2	Gucy1a2	ENSMUSG00000041624	504.94719728146	458.961289924421	377.488511194652	444.322482345013	377.249798158428	592.565617009768	615.407755697147	506.130015738535	545.050177591437	488.438719471093	571.393972614694	486.96233065118	595.395696981158
TENM3	Tenm3	ENSMUSG00000031561	1620.55022964714	1573.02019575809	1288.69152015127	1464.19615707452	1206.70837519243	1773.13962465223	1755.14968448557	1931.85138023416	1835.5157027659	1423.27640469985	1613.4798231823	1795.11465374334	1786.45923382606
RPL13A	Rpl13a	ENSMUSG00000074129	5407.64028380262	5913.39226504354	6249.05810356862	5678.70301762137	6217.68605809521	5279.00709226277	5318.16264464685	4932.26165719633	5379.64525665938	5064.96653195458	5043.07938311215	4779.40552653079	5036.31586893981
STXBP5L	Stxbp5l	ENSMUSG00000022829	1544.74893161864	1425.51383765516	1257.59561242254	1428.83008835398	1191.89746777961	1702.14345329786	1757.33394355056	1789.67473277769	1581.07615622562	1382.67856668151	1577.1457953401	1693.47995917094	1749.61756616817
MT3	Mt3	ENSMUSG00000031760	3579.06192020313	3664.84627644915	4202.95392187095	3848.05344374601	4282.52648714915	3035.12856257655	2979.58444747215	2910.88746601786	3538.01695638729	3813.34300164244	3261.37640503508	3388.44678916438	4023.57928492662
KLHL24	Klhl24	ENSMUSG00000062901	2729.60802082312	2509.16817451055	2496.71265941002	2540.14239535569	2513.98659536491	2880.02329828396	2965.11826477904	2898.05476103917	2700.13020979708	2757.00819743468	2922.37888964501	2739.82650682693	2832.74629743038
GRB10	Grb10	ENSMUSG00000020176	1318.50636997813	1230.12415673518	1173.89075362692	1246.9548971189	1256.87429421931	1419.28864345867	1387.76879843507	1404.27275491537	1523.87615655234	1338.40913147854	1318.36967616263	1262.63344424581	1259.61373278883
PNKD	Pnkd	ENSMUSG00000026179	4059.87402303891	4456.5258542379	4312.72874087092	4528.91368675907	4241.90169892406	3927.672286337	3864.12932279363	3985.88632790111	3858.74236985265	3903.63017868988	3744.77011705542	3880.79014554365	4012.79754750169
ITPK1	Itpk1	ENSMUSG00000057963	1697.06299105902	2002.15280770283	1859.09912884162	1755.61687183867	1892.67623338877	1450.6005065578	1575.91059215531	1537.58357467356	1612.46815970172	1598.64745429203	1648.51206952945	1574.54288378766	1856.94561023881
CPLX1	Cplx1	ENSMUSG00000033615	15215.3259748239	17527.7541853318	17289.599452594	18071.9337489224	16289.8287268882	13617.6430346957	13941.0895679544	15002.981243334	15754.4028316063	13216.8836241043	14280.850984085	14495.2714844717	13095.6728138994
DGKH	Dgkh	ENSMUSG00000034731	4900.60780769915	4778.62125698212	4351.46156728088	4347.86572182061	4361.20017201273	5441.72738925609	5376.80855345978	5186.36924673792	4833.49236106642	4936.69895580803	4972.67010418225	4894.4126347587	5325.96572902427
DCX	Dcx	ENSMUSG00000031285	1696.35002765536	1371.80582834153	1484.50739284985	1483.23669760502	1587.76876673264	2326.03111323038	1776.65365226869	2074.5992246417	1687.82512391594	1583.70141680657	1618.37994114586	1833.18396960143	1528.50720472474
MT-ND1	mt-Nd1	ENSMUSG00000064341	148976.35593687	142281.091349241	166340.014807431	166705.018162962	173671.311228487	136200.729515887	132484.273374324	142839.308319919	135064.123775289	147574.016417545	142169.967101827	148700.96756952	153685.449620004
SNRPD3	Snrpd3	ENSMUSG00000020180	1222.26200318204	1344.6115874843	1296.66641655767	1313.10385177581	1424.7890479267	1159.72240354492	1117.15091516134	1037.35561807374	1147.00090372612	1141.12130443823	1243.47082085771	1141.66436143321	1300.48680720472
DPY19L4	Dpy19l4	ENSMUSG00000045205	1003.36578354491	926.601330866707	974.18141419544	883.780978572004	916.652422551664	1107.91691113162	1089.1325891658	1220.32016197776	1035.26485257065	1001.53944568588	958.496956095553	943.718668031547	982.783671694253
MYL4	Myl4	ENSMUSG00000061086	544.405841259401	669.275983719268	614.030773409406	677.650032339939	664.32833173252	505.428122752859	515.274151685761	522.526297686411	541.731616622662	516.047258518155	447.497694233643	456.417480404359	402.662352007827
NYAP2	Nyap2	ENSMUSG00000054976	1591.11388682006	1549.06967801752	1264.83049596855	1470.61926438157	1347.14785556301	1706.51623401218	1764.36660576086	1676.25121595489	1837.93587549938	1585.17101931017	1688.80712695572	1734.28668749762	1468.36458291925
LAMP5	Lamp5	ENSMUSG00000027270	5092.8694717961	5214.674220884	5589.86013914894	5558.04725833468	5696.36564112961	4143.54701705948	4246.27701277946	4917.5559980881	4754.10871038953	5629.71897911589	5063.97153004498	4798.13523570233	5502.17191887625
RPL19	Rpl19	ENSMUSG00000017404	4642.59629794728	5000.26036579254	5164.58444571366	5065.32759997168	5021.89880772101	4306.34416375972	4349.78699825632	4508.77888188519	4572.57590464269	4734.28589703067	4485.9210215449	4338.97858147316	4162.41290757577
RABGAP1L	Rabgap1l	ENSMUSG00000026721	4746.88901813961	4561.55045483275	4381.41771624678	4492.39475158194	4230.93621259048	5122.843403476	5132.3859026869	5078.61498395628	4842.66241953512	4674.45251703021	5114.27574867426	4705.33679218185	4625.79731488275
CDH9	Cdh9	ENSMUSG00000025370	512.289914172065	442.35216798852	395.546734678139	468.77586331869	419.394800278879	633.599138870013	615.933530958504	603.234791889127	525.317386194321	571.121314595003	532.360755258407	545.670146981389	394.172339053787
THRSP	Thrsp	ENSMUSG00000035686	404.504469287661	482.720382267348	504.904758411445	445.656680455739	428.149193295465	338.124942743754	363.414333780762	347.748473720098	390.197871986239	368.52957878628	426.322638900497	371.747235678217	386.537541426081
C6orf62	BC005537	ENSMUSG00000019132	5862.51840019942	5533.42918055692	5639.84549500432	5549.83202087418	5339.63457863309	5930.35783874311	6180.12761221203	6408.57128923547	6315.98646383384	5774.6308558409	5978.61653366579	6073.25311294748	5625.93582084591
RPS26	Rps26	ENSMUSG00000025362	1677.92558146866	1761.66001632224	1889.23406741528	1823.78256894969	1832.50629357855	1510.05950684369	1577.36615482839	1587.41581722796	1689.31167266888	1629.98837483433	1605.68699681817	1612.87801131155	1615.21749682517
MRPL52	Mrpl52	ENSMUSG00000010406	245.861402752792	273.87123154189	286.928704304456	324.521084552244	301.121286391824	213.329427589261	219.733615167819	205.426225501809	230.487335471417	218.196512356614	209.942922610589	202.27605907612	264.502428469462
EEF1D	Eef1d	ENSMUSG00000055762	1628.56818867439	1786.19895562131	1717.03291077347	1687.25190676245	1667.13338672117	1498.90834694128	1523.19145493423	1508.26229992189	1500.80052035088	1653.46060022845	1656.07443341472	1714.74941798516	1629.75403043762
ADNP	Adnp	ENSMUSG00000051149	1666.21050474272	1511.12039463917	1320.73980679724	1533.02232341918	1061.71872744582	1797.10320458462	1700.68242345795	2054.77849630724	1948.03060326668	1784.81232548921	1636.5846398896	1585.11956626058	2060.8135453553
COX4I1	Cox4i1	ENSMUSG00000031818	7843.64551224894	8430.18438112717	8584.9197133743	8514.63290420654	8634.99242328367	7159.83081604021	7329.23461307471	7099.78404265736	8175.88711612023	7844.35677649624	7413.33832066828	7500.78996597863	7435.79507395988
ENHO	Enho	ENSMUSG00000028445	942.079920876915	990.814497121867	1024.15433308089	1056.09602914849	1147.29997440739	877.413684990227	832.116426956617	882.246835027232	895.219206599031	978.530651998556	897.444038762991	861.350506944871	862.272865484813
KIAA1324L	9330182L06Rik	ENSMUSG00000056004	1819.0274673985	1662.59416387476	1612.60556705145	1685.21548764538	1640.36665135027	1927.82312192233	1934.0672425029	2037.23856891983	1980.31684604194	1851.489103308	1968.53394904046	1922.04889247757	1606.03001464713
ARHGAP20	Arhgap20	ENSMUSG00000053199	3020.01624155393	2872.70369795577	2584.86203847844	2874.70813178432	2563.16608378942	3151.63988318965	3317.45083762579	3571.36066458077	3139.64354410404	2825.14349464947	3301.54745767919	3100.86605037604	2937.10301443427
EDEM3	Edem3	ENSMUSG00000043019	1459.30361770428	1369.34325632216	1326.80368100446	1374.8279372886	1244.81697478472	1482.18696527361	1546.64597374548	1546.46806379725	1563.14366117839	1533.23487754175	1483.91653659404	1473.54329711318	1566.71218780774
RPL24	Rpl24	ENSMUSG00000098274	2300.77577374211	2458.87256375214	2503.40960462732	2490.18496638359	2613.55085572829	2125.51486988013	2294.70006943025	2283.8012673354	2134.64594283886	2104.01882355745	2259.41357596479	2182.4754993294	2158.7212460777
VGF	Vgf	ENSMUSG00000037428	5435.78905368837	6744.13636842282	5777.16596968849	6222.03448723644	5675.74385026295	4005.55945235789	5241.92288511393	5007.92111189327	5051.0614892098	4970.67384874793	5688.32407205532	5350.54528135644	5494.37982791514
KCNA4	Kcna4	ENSMUSG00000042604	523.70505169474	421.30327434679	369.940194581428	492.929987052504	412.179826438758	612.776659042863	805.566357998657	487.324459691926	666.538883028986	403.330581794131	532.354436028458	588.858766460661	491.357193871723
RPL12	Rpl12	ENSMUSG00000038900	244.101667078312	283.165506251614	278.364032637278	280.651500944321	279.035913811996	239.779092684536	207.081843719351	162.253555651288	199.854409352033	235.81157911834	274.783902084314	239.262873916026	249.175794768652
VAMP1	Vamp1	ENSMUSG00000030337	3348.26674410428	3849.37712392469	4083.27141732137	3892.92211001533	3579.94178744992	3130.21320116373	3091.52887774987	3203.7362856498	3516.45984861844	2693.84113994993	3090.27498072985	3007.58686349061	3040.04729318782
RPL26	Rpl26	ENSMUSG00000060938	3270.41002907144	3620.34702661354	3641.33566118709	3401.76822332505	3761.00436441777	3005.76830837136	2900.64180499297	3075.52774701482	3294.44530960387	3350.19158296898	2953.33617622256	3021.44522867113	3219.10891546812
CHCHD10	Chchd10	ENSMUSG00000049422	1915.01849387406	2029.58043207823	2281.04078450869	2221.51174464265	2098.55910863646	1656.26095630268	1809.90729131901	1722.52655597046	2017.70411166909	1829.96840251653	1783.27966822792	1797.86158627328	1732.02128434376
GALNT9	Galnt9	ENSMUSG00000033316	2428.84115736128	3332.05427376209	2864.76767828576	2602.25233351845	2412.60403014803	1999.31185501077	2078.70678345712	1880.27006682654	2071.10750070327	2258.05959183658	2432.52395567441	2046.90565272703	3167.53016638524
MPND	Mpnd	ENSMUSG00000003199	1645.88631604969	1731.52486448616	1711.74122800014	1707.07811018359	1817.03778285303	1509.34010820105	1541.03971504356	1530.58791711905	1548.91923358668	1607.61163783619	1646.97896782017	1663.89707197234	1734.87915549428
MYO9A	Myo9a	ENSMUSG00000039585	4111.27932559929	3926.98345356176	3246.76296900913	3726.63920188524	3165.2284182347	4127.43824016738	4990.37164784556	4636.30603450606	4308.91054256843	3876.43179868183	4324.52233094424	4086.40192872066	4919.35534106654
MIEF1	Mief1	ENSMUSG00000022412	772.71823671952	677.651054615327	708.884615187795	639.904895629768	721.169003915839	782.140317383478	924.903727729643	935.217681749212	877.768068047456	653.120781500318	712.595295952647	801.495199498054	837.768199424699
TOX2	Tox2	ENSMUSG00000074607	640.570551554121	820.117225898933	721.515667639255	828.62461812799	686.361003789437	497.820258406829	436.379738405272	638.4237226036	559.56965246478	578.513882930174	511.476581558738	652.80959858217	755.234668242272
KCTD1	Kctd1	ENSMUSG00000036225	2667.76088881433	2797.6490887804	2930.87683946473	2813.51325731512	2747.90135927537	2430.10925097701	2471.00357778785	2420.05918760598	2473.90183090695	2548.50389052232	2719.20302654367	2681.32125758525	2979.08809900732
DENND5B	Dennd5b	ENSMUSG00000030313	2659.30676730188	2514.51012233224	2395.28591593341	2577.54207602105	2218.34932238368	2803.65613691473	3023.47142099958	3019.96429469814	2776.43889799887	2502.59623202413	2916.44411286451	2580.21997222009	2583.20270323218
R3HDM2	R3hdm2	ENSMUSG00000025404	8400.91158623478	8179.48651850085	9269.5756916932	9199.20665429931	9145.99967984524	7450.78126011024	8020.25492395079	7831.50989058941	7497.32132749357	7928.62648417096	8889.72402553803	8823.72631451784	8574.7262641079
