Mouse symbol	log2FC.HT	adjusted p-value.HT	log2FC.HM	adjusted p-value.HM	cell.type	Full.name
Csrp1	-0.251269235050925	0.00598526686243536	-0.270506797393105	0.00411667407916619	OLIGODENDROCYTES_MATURE	cysteine and glycine-rich protein 1(Csrp1)
Dbndd2	NA	NA	-0.257335793692641	0.0455836524682368	OLIGODENDROCYTES_MATURE	dysbindin (dystrobrevin binding protein 1) domain containing 2(Dbndd2)
Plxnb3	NA	NA	-0.39102592252029	0.0020965474819619	OLIGODENDROCYTES_MATURE	plexin B3(Plxnb3)
Plekhb1	NA	NA	-0.357988166107309	0.0370587262986294	OLIGODENDROCYTES_MATURE	pleckstrin homology domain containing, family B (evectins) member 1(Plekhb1)
Myrf	NA	NA	-0.576560620649931	0.00404669220093963	OLIGODENDROCYTES_MATURE	myelin regulatory factor(Myrf)
Tmem63a	NA	NA	-0.550516298724572	0.0298292762347629	OLIGODENDROCYTES_MATURE	transmembrane protein 63a(Tmem63a)
Csrp1	-0.251269235050925	0.00598526686243536	-0.270506797393105	0.00411667407916619	OLIGODENDROCYTES_PROGE	cysteine and glycine-rich protein 1(Csrp1)
Dgkb	NA	NA	0.231767719815603	0.0177098374423124	OLIGODENDROCYTES_PROGE	diacylglycerol kinase, beta(Dgkb)
Cd9	NA	NA	-0.294229390020285	0.0277176382563359	OLIGODENDROCYTES_PROGE	CD9 antigen(Cd9)
Csrp1	-0.251269235050925	0.00598526686243536	-0.270506797393105	0.00411667407916619	OLIGODENDROCYTES_PROGE	cysteine and glycine-rich protein 1(Csrp1)
Csrp1	-0.251269235050925	0.00598526686243536	-0.270506797393105	0.00411667407916619	OLIGODENDROCYTES_PROGE	cysteine and glycine-rich protein 1(Csrp1)
Mt3	-0.360250263375562	0.00211034606468062	NA	NA	OLIGODENDROCYTES_PROGE	metallothionein 3(Mt3)
S100b	-0.253241117023421	0.010605454875799	NA	NA	OLIGODENDROCYTES_PROGE	S100 protein, beta polypeptide, neural(S100b)
Itm2c	-0.127573287062299	0.0167728449821661	NA	NA	OLIGODENDROCYTES_PROGE	integral membrane protein 2C(Itm2c)
Htra1	-0.270331466579436	0.0385510413974207	NA	NA	OLIGODENDROCYTES_PROGE	HtrA serine peptidase 1(Htra1)
Ndrg2	-0.153090033848493	0.0472896098038202	NA	NA	OLIGODENDROCYTES_PROGE	N-myc downstream regulated gene 2(Ndrg2)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Gria4	0.168659818100553	0.0432715763273652	0.182089265420108	0.044064690183956	SUBCTX_GLU	glutamate receptor, ionotropic, AMPA4 (alpha 4)(Gria4)
Alcam	NA	NA	0.205518516591051	0.000238117865949157	SUBCTX_GLU	activated leukocyte cell adhesion molecule(Alcam)
Cd9	NA	NA	-0.294229390020285	0.0277176382563359	SUBCTX_GLU	CD9 antigen(Cd9)
Gprc5b	NA	NA	-0.204213520689364	0.0478354016738517	SUBCTX_GLU	G protein-coupled receptor, family C, group 5, member B(Gprc5b)
Calb1	NA	NA	0.19785581883854	0.0472137237425955	SUBCTX_GLU	calbindin 1(Calb1)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Gria4	0.168659818100553	0.0432715763273652	0.182089265420108	0.044064690183956	SUBCTX_GLU	glutamate receptor, ionotropic, AMPA4 (alpha 4)(Gria4)
Rph3a	-0.163873240451616	0.00603121067703505	-0.201828013409685	0.000441794326877046	SUBCTX_GLU	rabphilin 3A(Rph3a)
Gabrb2	0.264999953869884	0.021675184305517	NA	NA	SUBCTX_GLU	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2(Gabrb2)
Cdk5r2	-0.174386479476654	0.0233988874984504	NA	NA	SUBCTX_GLU	cyclin-dependent kinase 5, regulatory subunit 2 (p39)(Cdk5r2)
Dmd	0.192935297922241	0.0387552021800823	NA	NA	SUBCTX_GLU	dystrophin, muscular dystrophy(Dmd)
