HGNC	Mouse symbol	EnsembleID	baseMean	log2FC.HT	FC.HT	p-value.HT	adjusted p-value.HT	log2FC.HM	FC.HM	p-value.HM	adjusted p-value.HM
ELK1	Elk1	ENSMUSG00000009406	1936.30335875382	0.127202503710809	1.09217383783252	0.000509413980002371	0.249084593754752	0.0744444634190931	1.05295549776491	0.0683533473294009	0.549700988986903
FAM180A	Fam180a	ENSMUSG00000047420	49.0347126632768	-0.670654974519246	-1.59179546867221	0.000519931732855694	0.249084593754752	-0.257866417391108	-1.19570907806667	0.216579066987092	0.752307863337587
GLIS3	Glis3	ENSMUSG00000052942	141.872747243397	0.678989655930197	1.6010181420309	0.000521139561883821	0.249084593754752	0.262480976040406	1.19953975832079	0.228235194339481	0.758639990106418
PHF8	Phf8	ENSMUSG00000041229	751.083970250806	0.213108696757741	1.15918328478815	0.000526754316380051	0.249084593754752	0.0602785526341198	1.04266705744946	0.379607166346273	0.851682640851367
RPRML	Rprml	ENSMUSG00000046215	841.412326126906	-0.221887895175207	-1.16625874196479	0.000576111649291278	0.249084593754752	-0.0946871423819627	-1.06783381636625	0.185329517537994	0.729905336171047
COL15A1	Col15a1	ENSMUSG00000028339	180.31885738164	-0.59607254587138	-1.51159593695577	0.000578170128322952	0.249084593754752	-0.969564963384265	-1.95825000680354	6.72899856720798e-07	0.00065861063035161
PLPP4	Plpp4	ENSMUSG00000070366	49.9793336418203	-0.658986324316222	-1.57897280583379	0.000607630908846302	0.249084593754752	-0.0201438392210397	-1.01406057836488	0.9218614805979	0.990174782630186
PRKCZ	Prkcz	ENSMUSG00000029053	6579.37030853309	-0.129371656407987	-1.09381720227649	0.000622608528919377	0.249084593754752	-0.0220657135566347	-1.01541235100234	0.600410733232981	0.926129552758549
CCDC127	Ccdc127	ENSMUSG00000021578	2084.99368670445	0.261039187251354	1.19834157088956	0.000630072789516323	0.249084593754752	0.0965589908117086	1.06922019412429	0.256947229278177	0.777586291363197
NDUFA13	Ndufa13	ENSMUSG00000036199	1868.98480793433	-0.128763466122657	-1.0933561839918	0.000653046858853923	0.249084593754752	0.0243647328017458	1.01703176016538	0.559747900440865	0.918974769671562
BOK	Bok	ENSMUSG00000026278	617.206407069515	-0.280178373538343	-1.21434501565707	0.000655163888271693	0.249084593754752	-0.301305699798771	-1.23225915528036	0.000992717462551936	0.0873959040179982
PRKG1	Prkg1	ENSMUSG00000052920	292.364139565471	0.252412720313857	1.19119757357018	0.00065928745631938	0.249084593754752	0.263848537037482	1.2006773664034	0.00133709859658449	0.104749774193946
WDR3	Wdr3	ENSMUSG00000033285	497.5161612704	-0.510741619370167	-1.4247824187429	0.000662721534473443	0.249084593754752	-0.0587557307538339	-1.04156706163069	0.725375836361403	0.951330380800613
ARHGEF4	Arhgef4	ENSMUSG00000037509	5929.7917503358	-0.127697891654137	-1.09254892933733	0.000720179645586461	0.260570205007723	-0.0633174582933954	-1.04486565536846	0.132253661202711	0.672956779434833
UTP14A	Utp14a	ENSMUSG00000063785	376.058880455441	0.227049684306712	1.1704389489857	0.000739937929529866	0.260570205007723	0.233243431666409	1.17547465419598	0.00185565215604519	0.123504784897744
XDH	Xdh	ENSMUSG00000024066	367.613026037377	-0.608767380651046	-1.52495575041202	0.000743083952541523	0.260570205007723	-0.587585252394435	-1.50272940960884	0.003496506388564	0.171617610027482
PKD1L3	Pkd1l3	ENSMUSG00000048827	42.7735909929405	0.805588789953253	1.74785897916988	0.00075228307134978	0.260570205007723	0.311428171024188	1.24093553478954	0.246501737559789	0.771837111640445
NDUFB5	Ndufb5	ENSMUSG00000027673	1764.01927572955	-0.160448189976029	-1.1176342902232	0.00077462266353634	0.263148256757105	-0.00950169337419513	-1.00660780783667	0.857911307575311	0.97858539620535
ATF4	Atf4	ENSMUSG00000042406	2383.18201729429	-0.140252369882168	-1.10209788841734	0.000851074465581192	0.281302702739487	-0.0233278862187122	-1.01630109496153	0.61748825958875	0.928182251697616
RPS8	Rps8	ENSMUSG00000047675	3902.47436012021	-0.197946782280154	-1.14706471085251	0.00086509598971185	0.281302702739487	-0.120382308569266	-1.08702288119407	0.0691276260497348	0.551361565945545
EMILIN2	Emilin2	ENSMUSG00000024053	64.2317600935913	-0.769901988174905	-1.70515393720539	0.000891760620062909	0.281302702739487	-0.36816294396004	-1.29070826016251	0.157854745240009	0.704290751257908
COL1A1	Col1a1	ENSMUSG00000001506	185.609176120591	-0.425395861459828	-1.34294094213712	0.000942816475324015	0.292190404150855	0.0902835883709366	1.06457942464655	0.520101345583144	0.908183540983719
SHD	Shd	ENSMUSG00000039154	566.133555218314	-0.2039055652246	-1.15181224547917	0.00102012095246296	0.310697183194105	-0.194618341051965	-1.14442136865557	0.00491933278081642	0.193505385673769
SLC3A2	Slc3a2	ENSMUSG00000010095	2297.67847657917	-0.110035661663551	-1.07925491404115	0.00112660503171091	0.315924604728471	-0.0554547456415283	-1.03918660917937	0.13949593399032	0.681120661392036
KRT80	Krt80	ENSMUSG00000037185	171.668336512935	-0.47858383867328	-1.39337524622372	0.00112670535510295	0.315924604728471	-1.18741752752541	-2.27744707424733	1.69944501327749e-12	7.06926639398105e-09
RPS28	Rps28	ENSMUSG00000067288	769.128586796168	-0.258159369975454	-1.19595190251774	0.00114922579664922	0.316743118807923	-0.0991061512304168	-1.07110963085294	0.26082188817654	0.780947772143321
NUP160	Nup160	ENSMUSG00000051329	371.701742993815	0.516300609132463	1.43028297819085	0.00118250649140883	0.316743118807923	0.389013386815044	1.30949757389852	0.0286820633224424	0.404288868581782
STAC2	Stac2	ENSMUSG00000017400	3496.13710469117	-0.23610657803061	-1.17780979620996	0.00120134667195759	0.316743118807923	-0.39607326331606	-1.3159213487936	1.14250633245313e-06	0.000920571534561844
KLF15	Klf15	ENSMUSG00000030087	616.594057643766	-0.302986422980382	-1.23369555960279	0.00123643508203886	0.317055502652803	-0.32113088445526	-1.24930946060398	0.00213766793640876	0.134221346392096
SERPING1	Serping1	ENSMUSG00000023224	142.163238597614	-0.409514478279429	-1.32823873604804	0.00123842794695972	0.317055502652803	0.117011696924674	1.08448620148573	0.395534008749865	0.860384901493203
FRMPD1	Frmpd1	ENSMUSG00000035615	254.793436203273	-0.296028581759584	-1.22776000727707	0.00128381985579784	0.323981110752412	-0.114514333141631	-1.08261053566555	0.258718080398968	0.77886921291088
DOHH	Dohh	ENSMUSG00000078440	1021.36222588511	-0.154823634183048	-1.11328551357358	0.00134748614666469	0.330924902351187	-0.0584243821165834	-1.04132786887887	0.274202806015898	0.794486550308903
STOX1	Stox1	ENSMUSG00000036923	100.704473518452	0.674097619763846	1.59559844191709	0.00139086303862235	0.332021561854916	0.557979223375283	1.47220566040072	0.017989453745909	0.339757685446288
CXCL14	Cxcl14	ENSMUSG00000021508	1906.17422276605	-0.187363770118909	-1.13868110703146	0.00144601124721722	0.340583849094562	-0.0129021150273698	-1.00898317333286	0.843504041856668	0.975877662826509
NPHS1	Nphs1	ENSMUSG00000006649	53.4445778757952	-0.77709820419653	-1.71368055573725	0.00150963800196768	0.350891517167883	-0.760092131226837	-1.69359877533654	0.00538275920611698	0.199577610387919
HFE	Hfe	ENSMUSG00000006611	110.637755870506	0.511109709291462	1.42514598480722	0.00161650986192896	0.357059809728153	0.574332233004698	1.48898810935511	0.0014268037726808	0.107911763516526
ELOVL7	Elovl7	ENSMUSG00000021696	305.972172983759	0.355051549549648	1.27903128207127	0.00162267332381116	0.357059809728153	0.0743346118193285	1.05287532528282	0.556683350338415	0.917557482690502
GPAT4	Gpat4	ENSMUSG00000031545	1791.1707588807	0.217907238838233	1.16304525866251	0.0016378997719606	0.357059809728153	0.203909701116137	1.15181554747801	0.00821320419653393	0.247683560385979
BHLHB9	Bhlhb9	ENSMUSG00000072964	1430.59455280512	0.170416404079893	1.12538325641446	0.00164346010309435	0.357059809728153	0.191348092679196	1.14183017406002	0.00150566712702783	0.111345757007183
SLC19A1	Slc19a1	ENSMUSG00000001436	335.067344373363	0.229583204465882	1.17249616539326	0.00165745283881735	0.357059809728153	0.127047062248541	1.09205616919976	0.120690411216949	0.65725070934845
CD74	Cd74	ENSMUSG00000024610	74.1049310343155	-0.646949645188827	-1.56585393809673	0.00168419806937736	0.358321655040963	-0.3495519773945	-1.27416487956912	0.122386485293604	0.65839644490361
RAB38	Rab38	ENSMUSG00000030559	6.02827445324596	1.79587625638337	3.47226307281145	0.00171548999879101	0.358321655040963	NA	NA	NA	NA
CABLES1	Cables1	ENSMUSG00000040957	597.630133841453	-0.238134164636345	-1.17946627261731	0.00172416307265677	0.358321655040963	-0.0935069815356235	-1.06696065861549	0.266864854909947	0.78534919010375
NCOA6	Ncoa6	ENSMUSG00000038369	2107.46503736285	0.178237682340893	1.13150086095038	0.00175447666185224	0.360381746879301	-0.0523972152884574	-1.03698657383947	0.410513904208679	0.869444003066353
FKBP10	Fkbp10	ENSMUSG00000001555	159.96147848522	-0.372819290700936	-1.29488079433461	0.00189872205910979	0.380185402338724	-0.304334741311348	-1.23484908951196	0.0217908345757737	0.36617345528658
CARD9	Card9	ENSMUSG00000026928	38.5749431293599	-0.901107828979191	-1.86749946405107	0.00191545433388884	0.380185402338724	-0.776637864479263	-1.71313383633007	0.0162087152924585	0.331730398217979
COL11A2	Col11a2	ENSMUSG00000024330	699.494239321145	0.455328922022979	1.37109536726269	0.00203977130823607	0.391658262608589	0.0847443353231431	1.06049979010062	0.607376299675948	0.926397392821955
DRC7	Drc7	ENSMUSG00000031786	15.3230837332621	1.27866644643889	2.42614612651425	0.00206498785760667	0.392236672092708	0.273720317402214	1.20892129017796	0.565884652496074	0.919352635846359
FCHSD1	Fchsd1	ENSMUSG00000038524	213.070766947882	0.491650014628226	1.40605206243499	0.00218749679622987	0.392794667813529	0.336180523372221	1.26240998666516	0.0602802801199479	0.525683218509336
SNED1	Sned1	ENSMUSG00000047793	549.231438316908	0.467301137991252	1.38252075404771	0.00220069350787488	0.392794667813529	0.264614728491727	1.2013151956323	0.120285161270474	0.657174671117424
DENND3	Dennd3	ENSMUSG00000036661	233.903904192925	-0.411225170055922	-1.32981464412191	0.00220230338993166	0.392794667813529	-0.146162724764715	-1.10662216441489	0.330286375991915	0.829139053150063
SBNO1	Sbno1	ENSMUSG00000038095	4134.97070641412	0.18371645598368	1.13580601410685	0.00222167362919024	0.392794667813529	0.055270411179865	1.03905383984039	0.4094797779844	0.8687152908176
CACNA2D2	Cacna2d2	ENSMUSG00000010066	936.214179989769	0.342497712929019	1.26794987447811	0.00222833998162364	0.392794667813529	-0.284370433659747	-1.21787868719825	0.0230368048867251	0.372869062753132
RRP8	Rrp8	ENSMUSG00000030888	278.439489276695	-0.333646864665169	-1.26019488992394	0.00226804733184149	0.392794667813529	-0.16898654328988	-1.12426843713758	0.164724928308829	0.709877978594192
CD300LD	Cd300ld3	ENSMUSG00000069607	6.66597451915327	-1.59490712945557	-3.02075071021406	0.00230159013817288	0.392924928588714	NA	NA	NA	NA
TRNP1	Trnp1	ENSMUSG00000056596	2613.58357434302	-0.203537446611937	-1.1515183861229	0.00231328573864853	0.392924928588714	-0.034942903016891	-1.02451627534643	0.638422877791415	0.933805029929467
FUBP1	Fubp1	ENSMUSG00000028034	3467.0926669302	0.128091884537069	1.09284733979369	0.00243016070504654	0.402499780940176	-0.00726101542046994	-1.00504563894618	0.877763830539347	0.982274460320528
RGS9	Rgs9	ENSMUSG00000020599	289.034183865024	0.448358315182953	1.36448668375039	0.00243668804799002	0.402499780940176	0.363044281116443	1.28613695865218	0.0280573739877537	0.403232944672752
NDUFC2	Ndufc2	ENSMUSG00000030647	1048.52204591701	-0.160804491071288	-1.1179103454447	0.00244095305790215	0.402499780940176	-0.0936402447001846	-1.0670592193764	0.112104409365375	0.643430585522758
RFXAP	Rfxap	ENSMUSG00000036615	523.616316016431	0.291003563329083	1.22349106304279	0.00248459545060897	0.402499780940176	0.462957503878937	1.37836455117976	1.4573604299431e-05	0.00587403333190404
LTBP1	Ltbp1	ENSMUSG00000001870	205.673709850021	-0.392000403363798	-1.31221162147378	0.00252114290304606	0.402499780940176	-0.0961182845691958	-1.06889362472704	0.502706891699268	0.906549842956451
NIP7	Nip7	ENSMUSG00000031917	543.088403740072	-0.352398367447798	-1.27668124667381	0.00256186734159036	0.402499780940176	-0.131003673268075	-1.09505525892709	0.313630385498767	0.817466878971014
ANAPC11	Anapc11	ENSMUSG00000025135	637.922869455263	-0.199610134290624	-1.14838797922032	0.00256612796519318	0.402499780940176	-0.0421292883989451	-1.02963235071829	0.565451146271103	0.919341569552949
MAP3K6	Map3k6	ENSMUSG00000028862	136.294605318257	-0.628740329403948	-1.54621434683338	0.00257231290026239	0.402499780940176	-0.56454506445531	-1.47892107674625	0.0147897868433392	0.319867018093713
CMTM8	Cmtm8	ENSMUSG00000041012	28.5974161975967	-0.690401727920036	-1.61373281039875	0.002739939328263	0.424570423103209	-0.35131721828163	-1.27572486589583	0.159403854430804	0.705216892814182
RPL31	Rpl31	ENSMUSG00000073702	2664.06362123927	-0.243091042174208	-1.18352570652706	0.0028584524341575	0.435297950425795	-0.0615216454094542	-1.04356585477908	0.498167538054856	0.904934721928516
C3orf38	4930453N24Rik	ENSMUSG00000059920	555.909527991823	0.2006591425587	1.14922329543388	0.00291325320073943	0.437580044608432	0.352490171894972	1.27676248958513	2.35553301599619e-06	0.00156774855412642
ARPP21	Arpp21	ENSMUSG00000032503	9976.74088255327	0.143714271720384	1.10474566631784	0.00297809065563825	0.437580044608432	0.286511293521423	1.21968727668763	1.08917729963495e-07	0.000164752918987508
PSMB10	Psmb10	ENSMUSG00000031897	567.718712282993	-0.228485732440669	-1.1716045754209	0.00298069504837306	0.437580044608432	-0.0961178398868038	-1.06889329526164	0.261398980470672	0.781847498840825
NME6	Nme6	ENSMUSG00000032478	63.7598532640493	0.578459666182837	1.49325408262873	0.0029972932577198	0.437580044608432	0.212603675748126	1.15877757918488	0.334250670821299	0.831741782420664
HAPLN1	Hapln1	ENSMUSG00000021613	640.312834469105	0.285192125775996	1.21857253192895	0.00314999397565541	0.44874712564478	0.127907501303847	1.09270767767226	0.234582153985406	0.761323754648994
SUSD6	Susd6	ENSMUSG00000021133	1240.6288124006	-0.174493662113662	-1.12856824544246	0.00323200444113647	0.455810083106225	-0.0611784410687431	-1.04331762925442	0.352846341087987	0.83952640700622
IFRD1	Ifrd1	ENSMUSG00000001627	972.121568175872	-0.21401745913525	-1.15991369140644	0.00328641769318594	0.455810083106225	-0.164908830908015	-1.12109522974749	0.042290941956449	0.468778894553651
SIMC1	Simc1	ENSMUSG00000043183	401.377534583481	0.279630184488154	1.21388368171971	0.00332652686639912	0.455810083106225	-0.0683680381687389	-1.04852992622886	0.522646173945468	0.908183540983719
MGAT4C	Mgat4c	ENSMUSG00000019888	157.20146428822	0.518476708957802	1.43244198405581	0.00352569861679863	0.471664345833137	-0.0163616674964744	-1.01140559713413	0.934866126636291	0.990315936948415
DGKB	Dgkb	ENSMUSG00000036095	3278.50884756696	0.216037380509186	1.16153882723282	0.00355116660038535	0.471664345833137	0.162071817431604	1.11889279818909	0.0500048152983359	0.496356611100717
MUSTN1	Mustn1	ENSMUSG00000042485	28.9029759567414	-0.651830968846291	-1.57116093988695	0.00360906586660725	0.475777227862814	-0.0773385261388873	-1.05506985851935	0.742734785873252	0.952115279967881
CBX5	Cbx5	ENSMUSG00000009575	5154.79186514951	0.212449493232746	1.15865374587969	0.00369934793787818	0.48406652831569	0.113771479030709	1.08205323516204	0.163542673010945	0.70963611210139
NEK6	Nek6	ENSMUSG00000026749	713.965620882777	0.314840995522161	1.2438745539685	0.00380210887112065	0.493854803002546	0.254827521804876	1.19319308496029	0.035526281976592	0.432422681644854
ITGA3	Itga3	ENSMUSG00000001507	487.982940784802	-0.217367004256097	-1.16260982385078	0.0039251209443123	0.506111397673553	-0.331357179325201	-1.25819643483718	8.38482839474981e-05	0.0212112615657293
CBSL	Cbs	ENSMUSG00000024039	664.412423171725	-0.22209418685746	-1.16642551780641	0.00401569869969909	0.512948594004203	-0.0805705581209373	-1.05743615352422	0.348357058676855	0.837751239366864
PLCL1	Plcl1	ENSMUSG00000038349	831.266205321988	0.259589536145087	1.19713805618242	0.00410246631446065	0.512948594004203	0.166568672407552	1.12238580828767	0.099256818949923	0.619712649346254
GPR160	Gpr160	ENSMUSG00000037661	23.2757017450236	0.844694729979729	1.79588470164923	0.00411686735567129	0.512948594004203	0.531133764292851	1.44506437568597	0.10982400280282	0.639529455035911
PDLIM1	Pdlim1	ENSMUSG00000055044	142.990456265975	0.586932106629724	1.50204923869299	0.00412014648716097	0.512948594004203	0.35805281072685	1.28169484051836	0.117772827258737	0.653620677853874
PCLAF	Pclaf	ENSMUSG00000040204	7.24349090140177	1.62827725184291	3.09143624239098	0.00413180251723544	0.512948594004203	NA	NA	NA	NA
ASL	Asl	ENSMUSG00000025533	240.372298060442	-0.297806621921794	-1.2292740849647	0.00417502992731733	0.512948594004203	-0.158660289671414	-1.11625008845611	0.166790954172103	0.711654371352256
PRSS23	Prss23	ENSMUSG00000039405	456.202515461079	-0.242833118201202	-1.18331413557248	0.00429800414369907	0.513741764908429	-0.204614772615084	-1.1523785984146	0.0307699489652289	0.414423455990469
ABCC8	Abcc8	ENSMUSG00000040136	1009.89408703801	-0.257645468564774	-1.1955259691763	0.00430917024474842	0.513741764908429	-0.477314138785082	-1.39214949160487	2.2857934712153e-06	0.00156774855412642
SIN3A	Sin3a	ENSMUSG00000042557	854.542789684653	0.185926254653197	1.13754707909846	0.00433750971143909	0.513741764908429	-0.00651636228072907	-1.00452701425069	0.928714922030104	0.990315936948415
ITGA9	Itga9	ENSMUSG00000039115	168.887287905277	-0.51803149098369	-1.43199999839351	0.00439783675524841	0.513741764908429	-0.33147521928906	-1.25829938350854	0.100726720320312	0.624055882913882
PCDHA5	Pcdha5	ENSMUSG00000103092	261.356978057819	0.362417816789141	1.28557859808904	0.0044365529760475	0.513741764908429	-0.135953506314881	-1.09881880540915	0.344835309945064	0.835612537674426
TMEM67	Tmem67	ENSMUSG00000049488	296.120593099738	0.225129937533389	1.16888252020058	0.0045242808095356	0.513741764908429	0.143620097754706	1.10467355483068	0.105544527872526	0.631560796245759
USP50	Usp50	ENSMUSG00000027364	25.8953814532802	-0.741394240974406	-1.67179070069164	0.00456608146661841	0.513741764908429	-0.298552368294396	-1.22990967574318	0.292634367747099	0.805520586693282
BAK1	Bak1	ENSMUSG00000057789	246.751109959386	-0.226744799054944	-1.17019162584421	0.00458557221322708	0.513741764908429	-0.0553447505920977	-1.03910738174611	0.530902270964216	0.910284470675728
RABEPK	Rabepk	ENSMUSG00000070953	467.201927430059	-0.246790850906872	-1.18656476758255	0.00461042662612177	0.513741764908429	-0.0417948692537788	-1.02939370786177	0.665675422982747	0.939398049344272
DMP1	Dmp1	ENSMUSG00000029307	217.805538338251	-0.263031579672291	-1.19999764926724	0.00463479346612683	0.513741764908429	-0.00510000824591697	-1.00354131201736	0.960003908335596	0.993527787249114
COX6C	Cox6c	ENSMUSG00000014313	3271.40765044898	-0.168151801608167	-1.12361812487354	0.00473279903766843	0.513741764908429	0.0353365379362485	1.02479584961029	0.594047212389767	0.924366622397495
SIRT6	Sirt6	ENSMUSG00000034748	320.637330217174	-0.21486714371489	-1.16059703128947	0.00476038058722517	0.513741764908429	-0.169685773910248	-1.12481346809024	0.0438931578953543	0.474225907657767
RBPMS2	Rbpms2	ENSMUSG00000032387	58.5285219247721	0.540924419015048	1.454904461017	0.00477715807394286	0.513741764908429	0.194359322980999	1.14421592038086	0.365467004223901	0.844137621335239
NOTUM	Notum	ENSMUSG00000042988	89.9127935284654	0.534722651971371	1.44866363233518	0.00480890438837034	0.513741764908429	0.296953728871699	1.22854757697328	0.157208548338086	0.704214746767059
MEST	Mest	ENSMUSG00000051855	619.184138501926	0.22056650435123	1.16519103325406	0.00485755877702898	0.513741764908429	0.0512562076684314	1.03616675968586	0.558781368308458	0.918067216461347
CALN1	Caln1	ENSMUSG00000060371	5603.4245422969	0.213285158795081	1.15932507799364	0.00485799483643556	0.513741764908429	0.239936027903049	1.18094029492109	0.00451261631222435	0.189132047403277
PRR5	Prr5	ENSMUSG00000036106	158.209717979728	-0.440877863451424	-1.35743005688142	0.00486113615447281	0.513741764908429	-0.227103027655061	-1.1704822265219	0.189602602205742	0.734370192110262
PLA2R1	Pla2r1	ENSMUSG00000054580	25.3686883166429	1.16049216239566	2.23533671103752	0.00490769513181388	0.513741764908429	1.13717657664596	2.19950148706996	0.0135905033741087	0.312736786208249
FIS1	Fis1	ENSMUSG00000019054	1882.24478327941	-0.140199300178341	-1.10205734836477	0.00491493678287713	0.513741764908429	-0.0617091572748868	-1.04370149931364	0.265717000317519	0.784051280064407
LIMS2	Lims2	ENSMUSG00000024395	254.200345184016	-0.282436252240708	-1.21624700487919	0.00502009597041142	0.520523893777435	-0.390352929193854	-1.31071400706788	0.00050356830336632	0.0602796618684331
UTP20	Utp20	ENSMUSG00000004356	674.332628048648	0.263298711738786	1.20021986361063	0.00503875379767571	0.520523893777435	0.18416481267368	1.13615905154705	0.0792858282710632	0.575828964024464
CLDN12	Cldn12	ENSMUSG00000046798	1089.90266284274	0.1822729053201	1.13467010286472	0.00508354292743207	0.520766009995439	-0.000359011987638204	-1.00024887911228	0.996061579741593	0.999099775381547
DMC1	Dmc1	ENSMUSG00000022429	25.8396356142249	1.04077149099047	2.05732752909892	0.00510005772596722	0.520766009995439	0.449173251836732	1.36525766049855	0.280140553004516	0.797349367274045
PDE3B	Pde3b	ENSMUSG00000030671	359.626606431229	-0.375255887940814	-1.29706959289536	0.00515366582360532	0.521171746427514	0.00142863380495959	1.00099074395683	0.992368899211151	0.998367816074772
MAP4K1	Map4k1	ENSMUSG00000037337	54.6901826214038	-0.468948384231372	-1.38410019576379	0.00517340331184313	0.521171746427514	0.0615071783222548	1.04355539014027	0.735127014796952	0.952115279967881
NRSN1	Nrsn1	ENSMUSG00000048978	12182.81957927	-0.108096613283651	-1.07780532025852	0.00521982347310823	0.521171746427514	0.0156429145386033	1.01090183875831	0.716874801238689	0.949659710626592
