Mouse symbol	log2FC.HM	adjusted p-value.HM	cell.type	Full.name
Plxdc1	-0.487647130767869	0.00550943487255815	GABA_CALB1	plexin domain containing 1(Plxdc1)
Lrguk	0.421359563246824	0.0409742145201247	GABAPRO_DLX1-2	leucine-rich repeats and guanylate kinase domain containing(Lrguk)
Acvr2a	0.26182596593869	0.000941152797968943	GABAPRO_DLX1-2	activin receptor IIA(Acvr2a)
Nnat	0.278702718196985	0.00208484646327739	GABAPRO_DLX1-2	neuronatin(Nnat)
St8sia2	0.849532043751802	1.89629567920795e-05	GABAPRO_DLX1-2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2(St8sia2)
Dgkb	0.231767719815603	0.0177098374423124	GABA_NOS1	diacylglycerol kinase, beta(Dgkb)
Pcp4	-0.358419970277626	0.0168463099774565	GABA_NOS1	Purkinje cell protein 4(Pcp4)
Itpr1	0.151909272766003	0.0231605665900254	GABA_NOS1	inositol 1,4,5-trisphosphate receptor 1(Itpr1)
Synpr	0.299067810172758	0.0235492819225511	GABA_NOS1	synaptoporin(Synpr)
Calb1	0.19785581883854	0.0472137237425955	GABA_NOS1	calbindin 1(Calb1)
Epha5	0.246022964070653	0.000301029408678472	CTX_GLU_LAYER5	Eph receptor A5(Epha5)
Efnb2	0.250081148464366	0.00468858343993587	CTX_GLU_LAYER5	ephrin B2(Efnb2)
Ccnd2	0.363521901163394	0.0058141902326281	CTX_GLU_LAYER5	cyclin D2(Ccnd2)
Lrrc27	0.704272546232842	0.0210818745087523	CTX_GLU_LAYER5	leucine rich repeat containing 27(Lrrc27)
Rph3a	-0.201828013409685	0.000441794326877046	GABAPAN_GAD1-2	rabphilin 3A(Rph3a)
Kcnab2	-0.146322249993938	0.0302018562007316	GABAPAN_GAD1-2	potassium voltage-gated channel, shaker-related subfamily, beta member 2(Kcnab2)
Dgkb	0.231767719815603	0.0177098374423124	GABAPAN_GAD1-2	diacylglycerol kinase, beta(Dgkb)
Pcp4	-0.358419970277626	0.0168463099774565	GABAPAN_GAD1-2	Purkinje cell protein 4(Pcp4)
Synpr	0.299067810172758	0.0235492819225511	GABAPAN_GAD1-2	synaptoporin(Synpr)
Calb1	0.19785581883854	0.0472137237425955	GABAPAN_GAD1-2	calbindin 1(Calb1)
Cmtm5	-0.288430583041466	0.0421850072183814	OLIGODENDROCYTES_MATURE	CKLF-like MARVEL transmembrane domain containing 5(Cmtm5)
Csrp1	-0.270506797393105	0.00411667407916619	OLIGODENDROCYTES_MATURE	cysteine and glycine-rich protein 1(Csrp1)
Dbndd2	-0.257335793692641	0.0455836524682368	OLIGODENDROCYTES_MATURE	dysbindin (dystrobrevin binding protein 1) domain containing 2(Dbndd2)
Plxnb3	-0.39102592252029	0.0020965474819619	OLIGODENDROCYTES_MATURE	plexin B3(Plxnb3)
Plekhb1	-0.357988166107309	0.0370587262986294	OLIGODENDROCYTES_MATURE	pleckstrin homology domain containing, family B (evectins) member 1(Plekhb1)
Myrf	-0.576560620649931	0.00404669220093963	OLIGODENDROCYTES_MATURE	myelin regulatory factor(Myrf)
Tmem63a	-0.550516298724572	0.0298292762347629	OLIGODENDROCYTES_MATURE	transmembrane protein 63a(Tmem63a)
Grin2b	0.264935169148781	0.0234809197179942	CTX_GLU_LAYER4	glutamate receptor, ionotropic, NMDA2B (epsilon 2)(Grin2b)
